site_id,refinery_name,scenario,demand_scenario,refining_scenario,product_scenario,oil_price_scenario,attribution,demo_cat,demo_group,title,segment,metric,metric_desc,unit_desc,value
164,"Valero Energy, Benicia Refinery",Reference,BAU,historic production,2020 prices,reference case,level,DAC,dac,DAC,health,avoided_mortality,attributable_mortality,persons,45.5738376790112
164,"Valero Energy, Benicia Refinery",Reference,BAU,historic production,2020 prices,reference case,level,DAC,dac,DAC,health,health_cost_2019,attributable_health_cost,USD (2019 age-based VSL),401061081.869477
164,"Valero Energy, Benicia Refinery",Reference,BAU,historic production,2020 prices,reference case,level,DAC,dac,DAC,health,health_cost_pv,attributable_health_cost,USD PV 2019 (2019 age-based VSL),265267572.771841
164,"Valero Energy, Benicia Refinery",Reference,BAU,historic production,2020 prices,reference case,level,DAC,non_dac,Non-DAC,health,avoided_mortality,attributable_mortality,persons,192.674498576817
164,"Valero Energy, Benicia Refinery",Reference,BAU,historic production,2020 prices,reference case,level,DAC,non_dac,Non-DAC,health,health_cost_2019,attributable_health_cost,USD (2019 age-based VSL),1677881314.09422
164,"Valero Energy, Benicia Refinery",Reference,BAU,historic production,2020 prices,reference case,level,DAC,non_dac,Non-DAC,health,health_cost_pv,attributable_health_cost,USD PV 2019 (2019 age-based VSL),1109718437.11857
164,"Valero Energy, Benicia Refinery",Reference,BAU,historic production,2020 prices,reference case,level,Poverty,total_above_poverty,Above poverty line,health,avoided_mortality,attributable_mortality,persons,203.228715269415
164,"Valero Energy, Benicia Refinery",Reference,BAU,historic production,2020 prices,reference case,level,Poverty,total_above_poverty,Above poverty line,health,health_cost_2019,attributable_health_cost,USD (2019 age-based VSL),1772254901.06969
164,"Valero Energy, Benicia Refinery",Reference,BAU,historic production,2020 prices,reference case,level,Poverty,total_above_poverty,Above poverty line,health,health_cost_pv,attributable_health_cost,USD PV 2019 (2019 age-based VSL),1172120207.32753
164,"Valero Energy, Benicia Refinery",Reference,BAU,historic production,2020 prices,reference case,level,Poverty,total_below_poverty,Below poverty line,health,avoided_mortality,attributable_mortality,persons,35.0196209864136
164,"Valero Energy, Benicia Refinery",Reference,BAU,historic production,2020 prices,reference case,level,Poverty,total_below_poverty,Below poverty line,health,health_cost_2019,attributable_health_cost,USD (2019 age-based VSL),306687494.893998
164,"Valero Energy, Benicia Refinery",Reference,BAU,historic production,2020 prices,reference case,level,Poverty,total_below_poverty,Below poverty line,health,health_cost_pv,attributable_health_cost,USD PV 2019 (2019 age-based VSL),202865802.562866
164,"Valero Energy, Benicia Refinery",Reference,BAU,historic production,2020 prices,reference case,level,Race,aialnative,American Indian or Alaska Native,health,avoided_mortality,attributable_mortality,persons,1.07541887814349
164,"Valero Energy, Benicia Refinery",Reference,BAU,historic production,2020 prices,reference case,level,Race,aialnative,American Indian or Alaska Native,health,health_cost_2019,attributable_health_cost,USD (2019 age-based VSL),9389007.44287378
164,"Valero Energy, Benicia Refinery",Reference,BAU,historic production,2020 prices,reference case,level,Race,aialnative,American Indian or Alaska Native,health,health_cost_pv,attributable_health_cost,USD PV 2019 (2019 age-based VSL),6223230.16804555
164,"Valero Energy, Benicia Refinery",Reference,BAU,historic production,2020 prices,reference case,level,Race,asian,Asian,health,avoided_mortality,attributable_mortality,persons,32.051613318875
164,"Valero Energy, Benicia Refinery",Reference,BAU,historic production,2020 prices,reference case,level,Race,asian,Asian,health,health_cost_2019,attributable_health_cost,USD (2019 age-based VSL),281128887.808656
164,"Valero Energy, Benicia Refinery",Reference,BAU,historic production,2020 prices,reference case,level,Race,asian,Asian,health,health_cost_pv,attributable_health_cost,USD PV 2019 (2019 age-based VSL),185953246.17546
164,"Valero Energy, Benicia Refinery",Reference,BAU,historic production,2020 prices,reference case,level,Race,black,Black,health,avoided_mortality,attributable_mortality,persons,16.0239866107573
164,"Valero Energy, Benicia Refinery",Reference,BAU,historic production,2020 prices,reference case,level,Race,black,Black,health,health_cost_2019,attributable_health_cost,USD (2019 age-based VSL),140319821.661104
164,"Valero Energy, Benicia Refinery",Reference,BAU,historic production,2020 prices,reference case,level,Race,black,Black,health,health_cost_pv,attributable_health_cost,USD PV 2019 (2019 age-based VSL),92780232.3158549
164,"Valero Energy, Benicia Refinery",Reference,BAU,historic production,2020 prices,reference case,level,Race,hawaiian_pacisl,Hawaiian or Other Pacific Islander,health,avoided_mortality,attributable_mortality,persons,1.40398757335541
164,"Valero Energy, Benicia Refinery",Reference,BAU,historic production,2020 prices,reference case,level,Race,hawaiian_pacisl,Hawaiian or Other Pacific Islander,health,health_cost_2019,attributable_health_cost,USD (2019 age-based VSL),12313079.1382921
164,"Valero Energy, Benicia Refinery",Reference,BAU,historic production,2020 prices,reference case,level,Race,hawaiian_pacisl,Hawaiian or Other Pacific Islander,health,health_cost_pv,attributable_health_cost,USD PV 2019 (2019 age-based VSL),8145131.09273197
164,"Valero Energy, Benicia Refinery",Reference,BAU,historic production,2020 prices,reference case,level,Race,hispanic,Hispanic,health,avoided_mortality,attributable_mortality,persons,67.8171486039976
164,"Valero Energy, Benicia Refinery",Reference,BAU,historic production,2020 prices,reference case,level,Race,hispanic,Hispanic,health,health_cost_2019,attributable_health_cost,USD (2019 age-based VSL),594728340.06536
164,"Valero Energy, Benicia Refinery",Reference,BAU,historic production,2020 prices,reference case,level,Race,hispanic,Hispanic,health,health_cost_pv,attributable_health_cost,USD PV 2019 (2019 age-based VSL),393372371.106262
164,"Valero Energy, Benicia Refinery",Reference,BAU,historic production,2020 prices,reference case,level,Race,nonh_other,Other (Non-Hispanic),health,avoided_mortality,attributable_mortality,persons,1.20144882728157
164,"Valero Energy, Benicia Refinery",Reference,BAU,historic production,2020 prices,reference case,level,Race,nonh_other,Other (Non-Hispanic),health,health_cost_2019,attributable_health_cost,USD (2019 age-based VSL),10489416.1939087
164,"Valero Energy, Benicia Refinery",Reference,BAU,historic production,2020 prices,reference case,level,Race,nonh_other,Other (Non-Hispanic),health,health_cost_pv,attributable_health_cost,USD PV 2019 (2019 age-based VSL),6938975.18662757
164,"Valero Energy, Benicia Refinery",Reference,BAU,historic production,2020 prices,reference case,level,Race,nonh_two_or_more,Two or more races (Non-Hispanic),health,avoided_mortality,attributable_mortality,persons,10.7592126046046
164,"Valero Energy, Benicia Refinery",Reference,BAU,historic production,2020 prices,reference case,level,Race,nonh_two_or_more,Two or more races (Non-Hispanic),health,health_cost_2019,attributable_health_cost,USD (2019 age-based VSL),93808332.7717317
164,"Valero Energy, Benicia Refinery",Reference,BAU,historic production,2020 prices,reference case,level,Race,nonh_two_or_more,Two or more races (Non-Hispanic),health,health_cost_pv,attributable_health_cost,USD PV 2019 (2019 age-based VSL),62057867.4144414
