site_id,refinery_name,year,production_bbl,crude_bbl,ghg_mtco2e
164,"Valero Energy, Benicia Refinery",2020,44223688.221038,46410251.7528735,2.78970491401099
164,"Valero Energy, Benicia Refinery",2021,44235040.5455869,46414242.7583338,2.78994481203188
164,"Valero Energy, Benicia Refinery",2022,44380952.7628337,46345271.0271547,2.78579894403653
164,"Valero Energy, Benicia Refinery",2023,44370879.7244864,46318329.6669962,2.78417950777007
164,"Valero Energy, Benicia Refinery",2024,49005492.7205558,51170098.0439938,3.07581770346495
164,"Valero Energy, Benicia Refinery",2025,47375384.6554297,49472883.3864071,2.97379869060519
164,"Valero Energy, Benicia Refinery",2026,45648909.4697465,47669674.5800013,2.86540840444591
164,"Valero Energy, Benicia Refinery",2027,44314862.6692014,46282489.3522799,2.78202515828246
164,"Valero Energy, Benicia Refinery",2028,44297033.6500822,46289336.3844184,2.78243673112427
164,"Valero Energy, Benicia Refinery",2029,44274946.3976796,46296327.1458322,2.78285694348538
164,"Valero Energy, Benicia Refinery",2030,44251800.4041045,46303330.6162499,2.78327791978051
164,"Valero Energy, Benicia Refinery",2031,44233961.795298,46318401.2067295,2.78418380799982
164,"Valero Energy, Benicia Refinery",2032,44203736.5736771,46314053.7349252,2.78392248290466
164,"Valero Energy, Benicia Refinery",2033,44193568.8368817,46319530.1743039,2.78425166986808
164,"Valero Energy, Benicia Refinery",2034,44184041.2357064,46324391.9593833,2.78454391016444
164,"Valero Energy, Benicia Refinery",2035,44175140.4831117,46328664.8403125,2.78480075162673
164,"Valero Energy, Benicia Refinery",2036,44168341.6352455,46332540.3534477,2.78503370744208
164,"Valero Energy, Benicia Refinery",2037,44162376.2712579,46335803.7971001,2.78522987196284
164,"Valero Energy, Benicia Refinery",2038,44157263.9927715,46338622.8589509,2.78539932484019
164,"Valero Energy, Benicia Refinery",2039,44152805.6767885,46341031.1057627,2.78554408376115
164,"Valero Energy, Benicia Refinery",2040,44149086.1258524,46343081.7717175,2.78566734861482
164,"Valero Energy, Benicia Refinery",2041,44146197.6778686,46344843.939984,2.78577327196767
164,"Valero Energy, Benicia Refinery",2042,44143377.1062384,46346705.4852012,2.78588516883623
164,"Valero Energy, Benicia Refinery",2043,44141163.6030412,46348301.9877196,2.78598113407565
164,"Valero Energy, Benicia Refinery",2044,44139325.6073705,46349663.0716479,2.78606294838131
164,"Valero Energy, Benicia Refinery",2045,44137834.4342607,46350830.5227486,2.78613312348163
343,"Phillips 66, Wilmington Refinery",2020,46870357.9264013,45740834.3428345,2.75877224024867
343,"Phillips 66, Wilmington Refinery",2021,46876020.3488828,45743483.0979753,2.7589319949243
343,"Phillips 66, Wilmington Refinery",2022,46971923.8155094,45756016.8055744,2.75968794188261
343,"Phillips 66, Wilmington Refinery",2023,46953468.9772636,45758731.9080604,2.75985169817336
343,"Phillips 66, Wilmington Refinery",2024,46935782.7229643,45761923.2062127,2.76004417530849
343,"Phillips 66, Wilmington Refinery",2025,46919226.4401611,45765615.7892681,2.76026688649805
343,"Phillips 66, Wilmington Refinery",2026,46904956.7316099,45769489.6784103,2.76050053282263
343,"Phillips 66, Wilmington Refinery",2027,46890103.3763085,45773330.2659316,2.76073217062269
343,"Phillips 66, Wilmington Refinery",2028,46874435.2269843,45776795.703918,2.7609411819854
343,"Phillips 66, Wilmington Refinery",2029,46856669.8613031,45780429.6140479,2.761160354428
343,"Phillips 66, Wilmington Refinery",2030,46838465.0475706,45784100.9033795,2.76138178132673
343,"Phillips 66, Wilmington Refinery",2031,46811884.735479,45787146.4517379,2.76156546783767
343,"Phillips 66, Wilmington Refinery",2032,46794144.6929859,45789138.3563986,2.76168560581421
343,"Phillips 66, Wilmington Refinery",2033,46784072.6609525,45791868.9857503,2.76185029857861
343,"Phillips 66, Wilmington Refinery",2034,46774644.0894306,45794279.5650658,2.7619956881281
343,"Phillips 66, Wilmington Refinery",2035,46765840.135976,45796383.3646483,2.76212257483602
343,"Phillips 66, Wilmington Refinery",2036,46758464.907275,45798263.1036727,2.76223594775354
343,"Phillips 66, Wilmington Refinery",2037,46751847.7339389,45799822.1155512,2.76232997661756
343,"Phillips 66, Wilmington Refinery",2038,46745927.1737805,45801145.4983748,2.7624097939591
343,"Phillips 66, Wilmington Refinery",2039,46740571.2487619,45802252.5636098,2.76247656451286
343,"Phillips 66, Wilmington Refinery",2040,46735806.8984868,45803169.4582178,2.76253186528357
343,"Phillips 66, Wilmington Refinery",2041,46731657.8210954,45803930.2299835,2.7625777497992
343,"Phillips 66, Wilmington Refinery",2042,46727506.1869458,45804740.8722614,2.76262664216081
343,"Phillips 66, Wilmington Refinery",2043,46723828.101355,45805409.8913524,2.76266699278674
343,"Phillips 66, Wilmington Refinery",2044,46720474.2025954,45805954.9584521,2.76269986748186
343,"Phillips 66, Wilmington Refinery",2045,46717409.5895452,45806397.6750598,2.76272656909991
