scen_id,demand_scenario,refining_scenario,product_scenario,indirect_induced_scenario,ghg_perc_diff,segment,metric,unit_desc,high,low,title,scenario,unit
BAU historical production,BAU,historical production,2020 prices,baseline,0.00549319314029759,labor,forgone_wages_bil,USD billion,0,0,Labor: forgone wages,BAU demand - historical production,NPV (2019 USD billion)
BAU historical production,BAU,historical production,2020 prices,baseline,0.00549319314029759,labor,forgone_wages_ghg,USD billion per GHG,,,Labor: forgone wages per avoided GHG,BAU demand - historical production,"NPV per avoided GHG MtCO2e
(2019 USD million / MtCO2e)"
BAU historical production,BAU,historical production,changing prices,bartik-corrected,0.00549319314029759,labor,forgone_wages_bil,USD billion,0,0,Labor: forgone wages,BAU demand - historical production,NPV (2019 USD billion)
BAU historical production,BAU,historical production,changing prices,bartik-corrected,0.00549319314029759,labor,forgone_wages_ghg,USD billion per GHG,,,Labor: forgone wages per avoided GHG,BAU demand - historical production,"NPV per avoided GHG MtCO2e
(2019 USD million / MtCO2e)"
BAU historical production,BAU,historical production,changing prices,baseline,0.00549319314029759,labor,forgone_wages_bil,USD billion,0,0,Labor: forgone wages,BAU demand - historical production,NPV (2019 USD billion)
BAU historical production,BAU,historical production,changing prices,baseline,0.00549319314029759,labor,forgone_wages_ghg,USD billion per GHG,,,Labor: forgone wages per avoided GHG,BAU demand - historical production,"NPV per avoided GHG MtCO2e
(2019 USD million / MtCO2e)"
BAU low exports,BAU,low exports,2020 prices,bartik-corrected,-0.304254909976136,labor,forgone_wages_bil,USD billion,-18.6109092406404,-4.74065226705101,Labor: forgone wages,BAU demand - low exports,NPV (2019 USD billion)
BAU low exports,BAU,low exports,2020 prices,bartik-corrected,-0.304254909976136,labor,forgone_wages_ghg,USD billion per GHG,-112.011127470395,-28.5319646940149,Labor: forgone wages per avoided GHG,BAU demand - low exports,"NPV per avoided GHG MtCO2e
(2019 USD million / MtCO2e)"
BAU low exports,BAU,low exports,2020 prices,baseline,-0.304254909976136,labor,forgone_wages_bil,USD billion,-23.8327777300412,-6.06996443273001,Labor: forgone wages,BAU demand - low exports,NPV (2019 USD billion)
BAU low exports,BAU,low exports,2020 prices,baseline,-0.304254909976136,labor,forgone_wages_ghg,USD billion per GHG,-143.439327427582,-36.5325278321485,Labor: forgone wages per avoided GHG,BAU demand - low exports,"NPV per avoided GHG MtCO2e
(2019 USD million / MtCO2e)"
BAU low exports,BAU,low exports,changing prices,bartik-corrected,-0.304254909976136,labor,forgone_wages_bil,USD billion,-23.882398857679,-6.08447941582176,Labor: forgone wages,BAU demand - low exports,NPV (2019 USD billion)
BAU low exports,BAU,low exports,changing prices,bartik-corrected,-0.304254909976136,labor,forgone_wages_ghg,USD billion per GHG,-143.737975837566,-36.6198873265341,Labor: forgone wages per avoided GHG,BAU demand - low exports,"NPV per avoided GHG MtCO2e
(2019 USD million / MtCO2e)"
BAU low exports,BAU,low exports,changing prices,baseline,-0.304254909976136,labor,forgone_wages_bil,USD billion,-30.5833474482985,-7.79140917169526,Labor: forgone wages,BAU demand - low exports,NPV (2019 USD billion)
