year,demo_cat,demo_group,title,scen_id,demand_scenario,refining_scenario,sum_num,sum_den,num_over_den,mortality_level_dem,mortality_delta_dem,scenario,scenario_title,bau_mortality_level_dem,gap
2020,DAC,dac,DAC,BAU historical exports,BAU,historical exports,2094132.5487641,4904842,0.426952091171153,107.180984279748,-9.31381387904619,BAU demand - historical exports,"BAU demand
historical exports",116.557010782212,-9.37602650246438
2020,DAC,dac,DAC,BAU historical production,BAU,historical production,2276667.30648872,4904842,0.464167307833507,116.557010782212,0,BAU demand - historical production,"BAU demand
historical production",116.557010782212,0
2020,DAC,dac,DAC,BAU low exports,BAU,low exports,2035917.4146451,4904842,0.415083179977072,104.193083879421,-12.2818606706618,BAU demand - low exports,"BAU demand
low exports",116.557010782212,-12.3639269027912
2020,DAC,dac,DAC,LC1 historical exports,LC1,historical exports,2096729.1487684,4904842,0.427481486410448,107.314259038871,-9.1814249039577,Low demand - historical exports,"Low demand
historical exports",116.557010782212,-9.24275174334115
2020,DAC,dac,DAC,LC1 historical production,LC1,historical production,2276648.81503983,4904842,0.464163537793843,116.556059795335,-0.000944697461010095,Low demand - historical production,"Low demand
historical production",116.557010782212,-0.000950986877654714
2020,DAC,dac,DAC,LC1 low exports,LC1,low exports,2038514.01464939,4904842,0.415612575216367,104.326335873198,-12.149494253354,Low demand - low exports,"Low demand
low exports",116.557010782212,-12.2306749090146
2020,DAC,non_dac,Non-DAC,BAU historical exports,BAU,historical exports,2557505.00209967,19197950,0.133217609281182,162.577037408402,-14.2053940446095,BAU demand - historical exports,"BAU demand
historical exports",176.842454655763,-14.2654172473611
2020,DAC,non_dac,Non-DAC,BAU historical production,BAU,historical production,2781348.78303242,19197950,0.144877384462009,176.842454655763,0,BAU demand - historical production,"BAU demand
historical production",176.842454655763,0
2020,DAC,non_dac,Non-DAC,BAU low exports,BAU,low exports,2486614.47347685,19197950,0.129524999985772,158.063322750984,-18.7000395674875,BAU demand - low exports,"BAU demand
low exports",176.842454655763,-18.779131904779
2020,DAC,non_dac,Non-DAC,LC1 historical exports,LC1,historical exports,2560663.91073894,19197950,0.133382153341317,162.778162599025,-14.0051190939439,Low demand - historical exports,"Low demand
historical exports",176.842454655763,-14.064292056738
