doc_field_code,mean_final_yr_prod,mean_final_yr_prod_adj,n_wells
0,1162.12280701754,579.071428571429,57
8,0,0,1
10,2.171875,0.523809523809524,64
12,0,0,1
18,87.6315789473684,46.9444444444445,19
20,0,0,6
